Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,training_time
DenseNet121,rf,3,0.9054290718038529,0.9009700125460857,0.9017502097077694,0.9691077627361663,0.8995610543639289,0.9886736954015499,1080.3184678554535
DenseNet121,rf,4,0.9369527145359019,0.9334557879081824,0.9291579439668611,0.979134612556178,0.9309208691527309,0.9906774583971161,1080.3184678554535
DenseNet121,rf,5,0.9106830122591943,0.9155718474197747,0.9078020792691973,0.9704003296251035,0.9090709103795658,0.9888415591236803,1080.3184678554535
DenseNet121,rf,6,0.9176882661996497,0.9126811130495853,0.9108600618798355,0.9728143325876933,0.9112299526024056,0.9897721774114354,1080.3184678554535
DenseNet121,rf,7,0.9246935201401051,0.9284365942332004,0.9241741092911255,0.974465280902629,0.9258632778333661,0.9928947693951881,1080.3184678554535
DenseNet121,rf,8,0.9176882661996497,0.9144605777161451,0.9129428283159626,0.9727187936897737,0.9131124617179225,0.9871568544379532,1080.3184678554535
DenseNet121,rf,9,0.9176882661996497,0.9140071286860518,0.9157871904428463,0.9734266801236057,0.9128725209730119,0.9902413571193833,1080.3184678554535
DenseNet121,rf,10,0.9334500875656743,0.9357077157573845,0.9298381906139482,0.9777019161259378,0.9320332383164375,0.991864484332117,1080.3184678554535
InceptionV3,softmax,1,0.8181818181818182,0.8304077949295539,0.8112741014552463,0.9396745244851302,0.8120413438508067,0.9609425515841197,3054.5287430286407
InceptionV3,softmax,2,0.8286713286713286,0.8324428571313515,0.8229473449488236,0.9432308466851766,0.8228103157156113,0.9694699202735072,3054.5287430286407
InceptionV3,softmax,3,0.819614711033275,0.8510943424116584,0.8185150098943202,0.9425944204249972,0.8158012703932039,0.9706460406906696,3054.5287430286407
InceptionV3,softmax,4,0.8021015761821366,0.8167192850637048,0.8087995337995338,0.9363466409600735,0.7938115254110507,0.9670203948248255,3054.5287430286407
InceptionV3,softmax,5,0.8441330998248686,0.842222308886803,0.8414507732233313,0.9484845196300213,0.8415060104846382,0.9719624212682925,3054.5287430286407
